Store Name	Product Link	Set Code	Card Name	Foil	Lang	Card Price	Stock	Expected USD Profit	Expected ROI	Weight	Tier
Aki Aki	https://www.aki-aki.net/product/131089	2X2	Atla Palani, Nest Tender		JP	0.15	1	0.07	46.6667	3.26667	D
Aki Aki	https://www.aki-aki.net/product/131095	2X2	Dack's Duplicate		JP	0.09	4	0.05	55.5555	2.77778	D
Aki Aki	https://www.aki-aki.net/product/131099	2X2	Drogskol Reaver		JP	0.17	3	0.43	252.941	108.765	B
Aki Aki	https://www.aki-aki.net/product/131113	2X2	Intet, the Dreamer		JP	0.15	5	0.04	26.6667	1.06667	D
Aki Aki	https://www.aki-aki.net/product/131117	2X2	Kaervek the Merciless		JP	0.09	2	0.03	33.3333	1	D
Aki Aki	https://www.aki-aki.net/product/131123	2X2	Marchesa, the Black Rose		JP	0.19	3	0.3	157.895	47.3684	D
Aki Aki	https://www.aki-aki.net/product/131130	2X2	Phyrexian Tyranny		JP	0.09	1	0.04	44.4444	1.77778	D
Aki Aki	https://www.aki-aki.net/product/131173	2X2	Body Double		JP	0.05	9	0.03	60	1.8	D
Aki Aki	https://www.aki-aki.net/product/131179	2X2	Wash Out		JP	0.05	6	0.04	80	3.2	D
Aki Aki	https://www.aki-aki.net/product/131184	2X2	Scion of Darkness		JP	0.05	1	0.02	40	0.8	D
Aki Aki	https://www.aki-aki.net/product/131233	2X2	Dragon Arch		JP	0.05	3	0.2	400	80	B
Aki Aki	https://www.aki-aki.net/product/131298	2X2	Pirate's Pillage		JP	0.05	13	0.03	60	1.8	D
Aki Aki	https://www.aki-aki.net/product/131314	2X2	Rampant Growth		JP	0.05	1	0.17	340	57.8	B
Aki Aki	https://www.aki-aki.net/product/131498	2X2	Ashenmoor Liege	Foil	JP	0.24	2	0.26	108.333	28.1667	D
Aki Aki	https://www.aki-aki.net/product/131509	2X2	Deathbringer Liege	Foil	JP	0.24	2	0.71	295.833	210.042	B
Aki Aki	https://www.aki-aki.net/product/131540	2X2	Mindwrack Liege	Foil	JP	0.24	2	0.04	16.6667	0.666667	D
Aki Aki	https://www.aki-aki.net/product/131554	2X2	Thistledown Liege	Foil	JP	0.19	2	0.05	26.3158	1.31579	D
Aki Aki	https://www.aki-aki.net/product/131585	2X2	Body Double	Foil	JP	0.19	12	0.01	5.26316	0.0526316	D
Aki Aki	https://www.aki-aki.net/product/131586	2X2	Breakthrough	Foil	JP	0.09	22	0.05	55.5555	2.77778	D
Aki Aki	https://www.aki-aki.net/product/131591	2X2	Wash Out	Foil	JP	0.05	22	0.32	640	204.8	B
Aki Aki	https://www.aki-aki.net/product/131596	2X2	Scion of Darkness	Foil	JP	0.05	24	0.23	460	105.8	B
Aki Aki	https://www.aki-aki.net/product/131614	2X2	Summer Bloom	Foil	JP	0.19	6	0.32	168.421	53.8947	D
Aki Aki	https://www.aki-aki.net/product/131631	2X2	Lotleth Troll	Foil	JP	0.05	15	0.13	260	33.8	B
Aki Aki	https://www.aki-aki.net/product/131638	2X2	Sedraxis Specter	Foil	JP	0.03	19	0.01	33.3333	0.333333	D
