Imperial Seal (Foil Etched)		170.87
Wrenn and Six (Textured Foil)		121.04
Dockside Extortionist (Foil Etched)		105.04
Kozilek, Butcher of Truth (Textured Foil)		92.59
Imperial Seal (Borderless)	69	96.69
Cavern of Souls (Foil Etched)		83.21
Imperial Seal	70.5	85.55
Mana Vault (Foil Etched)		79.13
Liliana, the Last Hope (Textured Foil)		78.12
Wrenn and Six (Foil Etched)		75.22
Ulamog, the Infinite Gyre (Textured Foil)		74.78
Cavern of Souls (Borderless)	55	73.6
Wrenn and Six (Borderless)	56.1	60.37
Dockside Extortionist (Borderless)	49.5	66.42
Mana Drain (Foil Etched)		65.48
Mana Vault (Borderless)	52	74.29
Cavern of Souls	51.5	62.8
Dockside Extortionist	51.38	66.66
Wrenn and Six	44.15	56.82
Emrakul, the Aeons Torn (Textured Foil)		52.53
Mana Vault	40.98	49.82
Mana Drain (Borderless)	39	55.58
Mana Drain	35	40.4
Force of Negation (Borderless)	30	38.88
Allosaurus Shepherd (Foil Etched)		39.96
Animar, Soul of Elements (Foil Etched)		39.27
Bitterblossom (Foil Etched)		36.76
Force of Negation (Foil Etched)		36.46
Smothering Tithe (Borderless)	30.75	40.98
Food Chain (Foil Etched)		36.3
Sensei's Divining Top (Foil Etched)		35.87
Crucible of Worlds (Foil Etched)		35.72
Force of Negation	27.98	30.73
Phyrexian Altar (Foil Etched)		33.16
Smothering Tithe (Foil Etched)		32.62
Phyrexian Altar (Borderless)	24.75	29.68
Sensei's Divining Top (Borderless)	26	36.05
Ulamog, the Infinite Gyre (Borderless)	23	32.2
Kozilek, Butcher of Truth (Borderless)	21.99	32.03
Allosaurus Shepherd (Borderless)	23.03	30.4
Kozilek, Butcher of Truth	24.35	27.69
Seasoned Pyromancer (Borderless)	22.8	29.01
Kozilek, Butcher of Truth (Foil Etched)		27.93
Kaalia of the Vast (Foil Etched)		27.5
Smothering Tithe	21.5	26.91
Phyrexian Altar	22.49	28.35
Crucible of Worlds (Borderless)	21	28.56
Damnation (Foil Etched)		26.8
Teferi's Protection (Foil Etched)		25.92
Allosaurus Shepherd	20	30.9
Ulamog, the Infinite Gyre	20.99	25
Teferi's Protection	20.55	26.04
Consecrated Sphinx (Foil Etched)		25.26
Bitterblossom	21	25.74
Teferi's Protection (Borderless)	21	22.2
Ulamog, the Infinite Gyre (Foil Etched)		24.6
Sensei's Divining Top	19.49	24.17
Aurelia, the Warleader (Foil Etched)		23.42
Green Sun's Zenith (Foil Etched)		22.89
Liliana, the Last Hope (Foil Etched)		21.94
Concordant Crossroads (Foil Etched)		21.52
Consecrated Sphinx (Borderless)	15	19.92
Seasoned Pyromancer (Foil Etched)		20.75
Crucible of Worlds	17.97	24.02
Concordant Crossroads (Borderless)	15.99	22.03
Consecrated Sphinx	12.99	21.46
Food Chain	14	18.05
Aminatou, the Fateshifter (Foil Etched)		18.93
Seasoned Pyromancer	13	17.09
Darksteel Plate (Foil Etched)		18.69
Damnation (Borderless)	14	18.95
Warrior's Oath (Foil Etched)		17.66
City of Brass (Foil Etched)		17.22
Emrakul, the Aeons Torn (Borderless)	12	15.83
Damnation	12	17.54
Nicol Bolas, God-Pharaoh (Foil Etched)		16.49
Divine Visitation (Foil Etched)		16.43
Monastery Mentor (Foil Etched)		16.13
City of Brass (Borderless)	12	18.42
Elenda, the Dusk Rose (Foil Etched)		15.91
Emrakul, the Aeons Torn (Foil Etched)		15.54
Emrakul, the Aeons Torn	11.45	14.35
Concordant Crossroads	11	14.06
Ghave, Guru of Spores (Foil Etched)		14.43
Bloom Tender (Foil Etched)		14.15
Nim Deathmantle (Foil Etched)		13.65
Master of Cruelties (Foil Etched)		13.46
Aether Vial (Foil Etched)		13.21
Emiel the Blessed (Foil Etched)		12.4
Hydroid Krasis (Foil Etched)		11.94
Aether Vial (Borderless)	8.91	10.41
Dragonlord Dromoka (Foil Etched)		11.83
Ezuri, Claw of Progress (Foil Etched)		11.69
City of Brass	7	11.35
Aurelia, the Warleader	9	12.46
As Foretold (Foil Etched)		11.02
Bloom Tender (Borderless)	7.99	10.98
Bloom Tender	8.99	10.96
Oracle of Mul Daya (Foil Etched)		10.85
Anguished Unmaking (Foil Etched)		10.81
Assassin's Trophy (Foil Etched)		10.8
Dragonlord Silumgar (Foil Etched)		10.42
Green Sun's Zenith	7.75	10.31
Dragonlord Dromoka (Borderless)	7	11.13
Gravecrawler (Foil Etched)		9.79
Liliana, the Last Hope (Borderless)	6	8
Divine Visitation	7	8.53
Panharmonicon (Foil Etched)		9.33
Supreme Verdict (Foil Etched)		9.23
Mizzix of the Izmagnus (Foil Etched)		9.17
Darksteel Plate	6.5	9.7
Animar, Soul of Elements	6	17.62
Kaalia of the Vast	6.99	9.98
Aether Vial	5.75	8.6
Vedalken Orrery (Borderless)	6.24	8.69
Muldrotha, the Gravetide (Borderless)	6.23	14.69
Uril, the Miststalker (Foil Etched)		8.64
Elenda, the Dusk Rose (Borderless)	5.75	11.05
Vedalken Orrery (Foil Etched)		8.36
Assassin's Trophy (Borderless)	6.22	8.62
Panharmonicon (Borderless)	5.28	7.44
Jodah, Archmage Eternal (Foil Etched)		8.13
Elenda, the Dusk Rose	6.79	7.63
Dragonlord Dromoka	5	8.11
Oracle of Mul Daya (Borderless)	5.65	7.89
Oracle of Mul Daya	5	7.4
Monastery Mentor	4.97	8.6
Assassin's Trophy	4.5	7.23
Vedalken Orrery	4.54	6.55
Twinflame (Foil Etched)		6.5
Yahenni, Undying Partisan (Foil Etched)		6.42
Atla Palani, Nest Tender (Foil Etched)		6.39
Kambal, Consul of Allocation (Foil Etched)		6.38
Anguished Unmaking	4	5.89
Conqueror's Flail (Foil Etched)		6.21
Warrior's Oath	3.5	7.01
Thrumming Stone (Foil Etched)		6.09
Emiel the Blessed (Borderless)	4	8.91
Panharmonicon	4.5	5.99
Surgical Extraction (Borderless)	4	5.33
Supreme Verdict (Borderless)	4.6	6.42
Venser, Shaper Savant (Foil Etched)		5.8
Liliana, the Last Hope	3.99	7.37
Surgical Extraction (Foil Etched)		5.72
Skullbriar, the Walking Grave (Foil Etched)		5.66
Ob Nixilis, Unshackled (Foil Etched)		5.4
Forbidden Orchard (Foil Etched)		5.04
Forbidden Orchard (Borderless)	2.97	4.7
Hydroid Krasis	3.24	5.32
Planar Bridge (Foil Etched)		4.86
Supreme Verdict	3.19	4.76
Hardened Scales (Borderless)	3.1	4.67
Impervious Greatwurm (Foil Etched)		4.7
Talrand, Sky Summoner (Foil Etched)		4.63
Hardened Scales (Foil Etched)		4.62
Forbidden Orchard	3.46	4.45
Child of Alara (Foil Etched)		4.45
Hellkite Overlord (Foil Etched)		4.4
Kolaghan's Command (Foil Etched)		4.25
Varina, Lich Queen (Foil Etched)		4.24
Nim Deathmantle	2.19	4.37
Master of Cruelties	2.78	5.02
Necrotic Ooze (Foil Etched)		4.08
Muldrotha, the Gravetide (Foil Etched)		4.03
Kolaghan's Command (Borderless)	1.94	4.46
Chaos Warp (Borderless)	2.75	4.85
Emblem - Wrenn and Six // Monk Double-sided Token	2.5	5.25
Chaos Warp (Foil Etched)		3.97
As Foretold	2.24	3.48
Weathered Wayfarer (Foil Etched)		3.89
Hardened Scales	2.75	3.92
Surgical Extraction	2.4	3.83
Bring to Light (Foil Etched)		3.84
Villainous Wealth (Foil Etched)		3.82
Gravecrawler	2.85	4.32
Atarka's Command (Foil Etched)		3.69
Reveillark (Foil Etched)		3.61
Pull from Tomorrow (Foil Etched)		3.59
Deathbringer Liege (Foil Etched)		3.59
Nicol Bolas, God-Pharaoh	2.2	4.02
Lord of Extinction (Foil Etched)		3.43
Roon of the Hidden Realm (Foil Etched)		3.3
Sidisi, Brood Tyrant (Foil Etched)		3.26
Creakwood Liege (Foil Etched)		3.24
Bloodforged Battle-Axe (Foil Etched)		3.21
Pithing Needle (Borderless)	2	3.47
Aminatou, the Fateshifter	1.97	2.49
Restoration Angel (Foil Etched)		3.15
Pithing Needle (Foil Etched)		3.11
Drogskol Reaver (Foil Etched)		3.11
Hostage Taker (Foil Etched)		3.1
Thrumming Stone	1.49	2.67
Conqueror's Flail	1.75	3.03
Mikaeus, the Lunarch (Foil Etched)		3.09
Weathered Wayfarer	1.45	2.88
Dragonlord Silumgar	1.75	4.22
Emiel the Blessed	1.83	3.62
Muldrotha, the Gravetide	1.93	3.54
Murkfiend Liege (Foil Etched)		2.97
Marchesa, the Black Rose (Foil Etched)		2.95
Ezuri, Claw of Progress	1.26	3.28
Grand Arbiter Augustin IV (Foil Etched)		2.88
Tariel, Reckoner of Souls (Foil Etched)		2.87
Lord of Extinction	0.25	3.41
Doran, the Siege Tower (Foil Etched)		2.85
Zur the Enchanter (Foil Etched)		2.83
Sedris, the Traitor King (Foil Etched)		2.83
Grand Arbiter Augustin IV (Borderless)	1.63	3.05
Mayael's Aria (Foil Etched)		2.76
Privileged Position (Borderless)	1	2.37
Elsha of the Infinite (Foil Etched)		2.73
Teneb, the Harvester (Foil Etched)		2.68
Rafiq of the Many (Foil Etched)		2.66
Rishkar, Peema Renegade (Foil Etched)		2.65
Privileged Position (Foil Etched)		2.64
Simic Growth Chamber (Borderless)	1.5	3.71
Privileged Position	1.25	2.48
Grand Arbiter Augustin IV	1.19	2.88
Wasitora, Nekoru Queen (Foil Etched)		2.55
Master Biomancer (Foil Etched)		2.53
Path to Exile	1.88	2.43
Thousand-Year Storm (Borderless)	1.25	2.62
Leonin Arbiter (Foil Etched)		2.45
Backdraft Hellkite (Foil Etched)		2.43
Glimpse the Unthinkable (Foil Etched)		2.42
Kolaghan's Command	1	2.53
Bloodforged Battle-Axe	1.49	2.65
Bloodforged Battle-Axe (Borderless)	1.22	2.52
Karador, Ghost Chieftain (Foil Etched)		2.4
Lightning Bolt (Borderless)	1.1	2.79
Ashen Rider (Foil Etched)		2.39
Intet, the Dreamer (Foil Etched)		2.38
Yahenni, Undying Partisan	1.06	2.76
Pillar of the Paruns (Foil Etched)		2.38
Dromoka's Command (Foil Etched)		2.32
Terminate (Borderless)	0.85	2.48
Sedris, the Traitor King (Borderless)	1.19	2.49
Eternal Witness (Borderless)	1.25	2.42
Ruric Thar, the Unbowed (Foil Etched)		2.23
Firesong and Sunspeaker (Foil Etched)		2.19
Eternal Witness	1.21	1.91
Glimpse the Unthinkable (Borderless)	0.75	2.09
Thousand-Year Storm (Foil Etched)		2.12
Judith, the Scourge Diva (Foil Etched)		2.04
Impervious Greatwurm	0.99	1.67
Prized Amalgam (Foil Etched)		2.02
Blood Artist	1.23	2.36
Twinflame	0.99	2.33
Shadowborn Apostle	1.2	1.69
Mizzix of the Izmagnus	0.49	1.95
Selesnya Sanctuary (Borderless)	0.9	2.44
Blood Artist (Borderless)	0.75	2.38
Balefire Liege (Foil Etched)		1.99
Dack's Duplicate (Foil Etched)		1.91
Ob Nixilis, Unshackled	0.99	1.92
Kaervek the Merciless (Foil Etched)		1.86
Glimpse the Unthinkable	0.99	1.82
Gruul Turf (Borderless)	0.55	2.2
Thousand-Year Storm	0.99	1.74
Kambal, Consul of Allocation	0.85	2
Shattergang Brothers (Foil Etched)		1.74
Ashenmoor Liege (Foil Etched)		1.74
Planar Bridge	0.8	1.68
Grim Flayer (Foil Etched)		1.71
Marchesa, the Black Rose (Borderless)	0.49	1.63
Glen Elendra Liege (Foil Etched)		1.62
Golgari Rot Farm (Borderless)	0.5	1.6
Jeskai Ascendancy (Foil Etched)		1.58
Mathas, Fiend Seeker (Foil Etched)		1.58
Kederekt Leviathan (Foil Etched)		1.56
Phyrexian Tyranny (Foil Etched)		1.51
Alesha, Who Smiles at Death (Foil Etched)		1.46
Drogskol Reaver	0.6	1.47
The Mimeoplasm (Foil Etched)		1.39
Ghave, Guru of Spores	0.75	2.21
Necrotic Ooze	0.7	1.63
Boartusk Liege (Foil Etched)		1.35
Cat Dragon // Treasure Double-sided Token		1.3
Chaos Warp	0.94	1.26
Lightning Bolt	0.52	1.11
Uril, the Miststalker	0.6	1.48
Mulldrifter (Borderless)	0.5	1.36
Magister Sphinx (Foil Etched)		1.27
Zur the Enchanter	0.16	1.76
Anger of the Gods (Foil Etched)		1.23
Hostage Taker	0.48	0.89
Marchesa, the Black Rose	0.49	1.35
Boros Garrison (Borderless)	0.49	1.88
Anger of the Gods (Borderless)	0.37	0.91
Sedris, the Traitor King	0.43	0.97
Coldsteel Heart	0.38	1.21
Dimir Aqueduct (Borderless)	0.64	1.12
Rancor	0.75	1.58
Creakwood Liege	0.39	1.33
Thraximundar (Foil Etched)		1.11
Pillar of the Paruns	0.4	1.1
Rampant Growth (Borderless)	0.3	1.19
Rakdos Carnarium (Borderless)	0.41	1.29
Figure of Destiny (Foil Etched)		1.1
Venser, Shaper Savant	0.65	1.69
Thistledown Liege (Foil Etched)		1.07
Bedlam Reveler (Foil Etched)		1.07
Wilt-Leaf Liege (Foil Etched)		1.06
Pithing Needle	0.41	1.04
Abbot of Keral Keep (Foil Etched)		1.04
Pull from Tomorrow	0.5	1.34
Karador, Ghost Chieftain	0.35	1.26
Greater Gargadon (Foil Etched)		1.02
Orzhov Basilica (Borderless)	0.4	1.16
Child of Alara	0.25	0.82
Mayael's Aria	0.39	1
Young Pyromancer (Borderless)	0.24	1.18
Spell Pierce (Borderless)	0.23	1.08
Izzet Boilerworks (Borderless)	0.4	1.03
Grim Flayer (Borderless)	0.37	0.8
Inquisition of Kozilek (Borderless)	0.19	1.15
Egg // Treasure Double-sided Token		0.99
Atarka's Command	0.4	1.05
Balefire Liege	0.39	0.94
Tariel, Reckoner of Souls	0.23	0.93
Wall of Omens (Borderless)	0.23	1.02
Azorius Chancery (Borderless)	0.45	1.07
Dauntless Escort (Foil Etched)		0.95
Empyrial Archangel (Foil Etched)		0.93
Egg // Knight Double-sided Token		0.93
