Artifact Zombie Token 	85	
Construct Token 	80	
Urzan Automaton Token 	80	
Portal to Phyrexia (Extended Art)	23.48	41.33
Myrel, Shield of Argive (Extended Art)	18.5	36.41
Awaken the Woods (Extended Art)	17.4	29.34
Portal to Phyrexia	18.23	22.75
Urza, Lord Protector	16	24.12
Gix, Yawgmoth Praetor (Extended Art)	15.5	37.04
Awaken the Woods	14.05	18.86
Myrel, Shield of Argive	14.99	17.56
Cityscape Leveler (Extended Art)	10.75	24.6
Gix, Yawgmoth Praetor	10	12.53
Loran of the Third Path (Extended Art)	10.28	16.14
Mishra, Claimed by Gix	7.4	11.18
Titania, Voice of Gaea	8.99	13.73
Cityscape Leveler	9.59	11.6
Loran of the Third Path	5.64	9.32
Teferi, Temporal Pilgrim	6.99	9.29
Phyrexian Fleshgorger (Extended Art)	6.01	12.07
Teferi, Temporal Pilgrim (Borderless)	6	11.95
Diabolic Intent (Extended Art)	6.66	11.04
Diabolic Intent	4.5	7.62
Phyrexian Fleshgorger	4.98	7.49
Brotherhood's End (Extended Art)	5	10.91
Gwenna, Eyes of Gaea (Extended Art)	3.76	10.29
Brotherhood's End	3.99	6.13
One with the Multiverse (Extended Art)	3.79	8.64
Underground River (Borderless)	2.99	8.22
Tyrant of Kher Ridges (Extended Art)	2.99	8.22
One with the Multiverse	2.85	4.36
Tocasia's Welcome (Extended Art)	2.4	4.82
Underground River	1.5	4.26
Arcane Proxy (Extended Art)	1.7	9.42
Gwenna, Eyes of Gaea	1	4.49
Tocasia's Welcome	1.51	3.98
The Mightstone and Weakstone	2.39	4.64
Haywire Mite	2	5.51
Steel Seraph (Extended Art)	2	5.28
Liberator, Urza's Battlethopter (Extended Art)	2.35	5.57
Brushland	1.4	2.98
Misery's Shadow (Extended Art)	0.97	3.15
Brushland (Borderless)	1.5	5.5
Platoon Dispenser (Extended Art)	1.4	3.48
Phyrexian Dragon Engine	1	2.77
Liberator, Urza's Battlethopter	1	2.64
Steel Seraph	1.35	2.72
Llanowar Wastes (Borderless)	1	4.99
Fauna Shaman (Extended Art)	1.39	3.29
Urza's Sylex (Extended Art)	0.95	4.02
Saheeli, Filigree Master (Borderless)	1	3.01
Arcane Proxy	0.97	2.59
Powerstone // Forest Dryad Double-sided Token		2.17
Surge Engine (Extended Art)	0.85	2.83
The Stone Brain (Extended Art)	1	4.16
Battlefield Forge (Borderless)	0.94	3.79
Sarinth Greatwurm (Extended Art)	0.95	1.81
Bladecoil Serpent (Extended Art)	0.95	2.38
Skitterbeam Battalion (Extended Art)	0.7	2.16
Argoth, Sanctum of Nature	0.99	2.59
Saheeli, Filigree Master	0.83	1.6
Fauna Shaman	0.4	1.61
Soul Partition (Extended Art)	1	4.52
Blast Zone (Extended Art)	0.63	3.53
Misery's Shadow	0.3	1.86
Clay Champion (Extended Art)	0.65	1.44
Platoon Dispenser	0.85	2.26
Painful Quandary (Extended Art)	0.88	2.11
Rescue Retriever (Extended Art)	0.28	1.52
Rootwire Amalgam (Extended Art)	0.28	1.52
In the Trenches (Extended Art)	0.7	1.64
Surge Engine	0.5	1.28
Titania's Command (Extended Art)	0.45	2.67
The Stone Brain	0.44	1.09
Draconic Destiny (Extended Art)	0.39	1.9
Construct Token (005)	0.69	
Demolition Field	0.48	3.26
Mechanized Warfare (Extended Art)	0.61	1.56
Third Path Iconoclast	0.48	3.55
Urza's Sylex	0.25	1.03
Perennial Behemoth (Extended Art)	0.5	1.26
Siege Veteran (Extended Art)	0.54	1.14
Hostile Negotiations (Extended Art)	0.4	1.42
Skitterbeam Battalion	0.5	1.11
In the Trenches	0.48	1.05
Mechanized Warfare	0.35	1.02
Bladecoil Serpent	0.39	0.78
Sarinth Greatwurm	0.35	0.72
Urza, Prince of Kroog (Borderless)	0.4	2.74
Mishra's Foundry (Extended Art)	0.49	0.81
Hurkyl, Master Wizard (Extended Art)	0.64	2.28
Hajar, Loyal Bodyguard (Extended Art)	0.42	1.39
Rootwire Amalgam	0.4	1.03
Battlefield Forge	0.35	1.08
Llanowar Wastes	0.5	0.95
Skystrike Officer (Extended Art)	0.32	1.02
Gix's Command (Extended Art)	0.25	1.1
Fortified Beachhead (Extended Art)	0.48	1.16
Fade from History (Extended Art)	0.44	1.2
Spirit Token	0.37	
Drafna, Founder of Lat-Nam (Extended Art)	0.25	1.5
Siege Veteran	0.25	0.89
Painful Quandary	0.48	0.78
Clay Champion	0.24	0.57
Terisian Mindbreaker (Extended Art)	0.2	0.94
Thopter // Construct (005) Double-sided Token	0.58	
Kayla's Reconstruction (Extended Art)	0.25	1.37
Mishra's Foundry	0.21	0.79
Gixian Puppeteer (Extended Art)	0.25	1.04
Titania's Command	0.3	0.74
The Stasis Coffin (Extended Art)	0.39	1.01
Soul Partition	0.2	0.85
Draconic Destiny	0.15	0.64
Hostile Negotiations	0.25	0.62
Transmogrant's Crown (Extended Art)	0.45	1.07
Legions to Ashes (Extended Art)	0.24	0.66
Harbin, Vanguard Aviator (Extended Art)	0.2	0.68
Rescue Retriever	0.22	1.28
Razorlash Transmogrant (Extended Art)	0.2	0.91
Visions of Phyrexia (Extended Art)	0.25	1.52
Urza, Prince of Kroog	0.25	0.51
Mishra, Tamer of Mak Fawa (Borderless)	0.23	1.59
Perennial Behemoth	0.32	0.52
Ashnod, Flesh Mechanist (Extended Art)	0.2	0.67
Teething Wurmlet (Extended Art)	0.19	0.66
Swamp (282) - Full Art	0.17	0.67
Gixian Puppeteer	0.25	0.47
Blast Zone	0.15	0.68
Titanic Theme Card	0.3	
Skystrike Officer	0.13	0.47
Island (280) - Full Art	0.12	0.82
Fade from History	0.15	0.52
Powerstones Theme Card	0.1	
Fortified Beachhead	0.23	0.4
Deathbloom Ritualist (Extended Art)	0.17	0.4
Welded Theme Card	0.3	
Kayla's Reconstruction	0.1	0.42
Terisian Mindbreaker	0.15	0.39
Gix's Command	0.1	0.46
Razorlash Transmogrant	0.08	0.46
Transmogrant's Crown	0.15	0.44
Bitter Reunion	0.14	2.24
Hajar, Loyal Bodyguard	0.1	0.47
Legions to Ashes	0.19	0.39
Urza's Command (Extended Art)	0.2	0.4
Mountain (284) - Full Art	0.1	0.44
Mishra's Command (Extended Art)	0.25	0.78
Hall of Tagsin (Extended Art)	0.22	0.62
Feldon, Ronom Excavator (Extended Art)	0.15	0.5
Drafna, Founder of Lat-Nam	0.15	0.47
The Temporal Anchor	0.09	0.26
Go for the Throat	0.13	0.49
Harbin, Vanguard Aviator	0.08	0.32
Mishra, Tamer of Mak Fawa	0.19	0.27
The Stasis Coffin	0.05	0.26
Hall of Tagsin	0.01	0.3
Woodcaller Automaton	0.1	1.06
The Temporal Anchor (Extended Art)	0.2	0.41
Plains (278) - Full Art	0.15	0.49
Mountain (285) - Full Art	0.08	0.42
Island (281) - Full Art	0.12	0.46
Lay Down Arms	0.17	0.68
Feldon, Ronom Excavator	0.09	0.27
Visions of Phyrexia	0.15	0.5
Simian Simulacrum (Extended Art)	0.12	0.35
Kayla's Command (Extended Art)	0.11	0.3
Bear Token	0.15	
Forest Dryad Token	0.15	
Infantry Theme Card	0.36	
Unearth Theme Card	0.36	
Mishra's Command	0.08	0.34
Over the Top (Extended Art)	0.13	0.49
Queen Kayla bin-Kroog (Extended Art)	0.15	0.38
Forest (287) - Full Art	0.05	0.48
Recruitment Officer	0.17	0.61
Teething Wurmlet	0.09	0.49
Thran Spider (Extended Art)	0.19	0.43
Hurkyl's Final Meditation (Extended Art)	0.06	0.35
Audacity	0.1	2.12
Plains (279) - Full Art	0.08	0.44
Fateful Handoff (Extended Art)	0.1	0.27
Golem Token	0.07	
Simian Simulacrum	0.14	0.26
Artificer's Dragon (Extended Art)	0.07	
Emblem - Saheeli, Filigree Master	0.18	
Hurkyl, Master Wizard	0.05	0.29
Urza's Command	0.09	0.24
Tyrant of Kher Ridges	0.05	0.21
Bushwhack	0.06	2.92
Geology Enthusiast	0.14	0.38
Artificer's Dragon	0.11	0.49
Woodcaller Automaton (Extended Art)	0.06	13.99
Obliterating Bolt	0.15	1.48
Gaea's Gift	0.1	0.58
Tocasia, Dig Site Mentor (Extended Art)	0.1	0.23
Tawnos, the Toymaker (Extended Art)	0.14	0.39
Zombie Token	0.15	
Terror Ballista	0.1	0.52
Autonomous Assembler (Extended Art)	0.14	0.24
Powerstone // Laserbeak Double-sided Token		0.38
Loran's Escape	0.07	2.61
Deathbloom Ritualist	0.03	0.3
Fateful Handoff	0.01	0.2
Kayla's Command	0.06	0.23
Hurkyl's Final Meditation	0.03	0.18
Ashnod, Flesh Mechanist	0.05	0.24
Thran Spider	0.07	0.18
Swamp (283) - Full Art	0.05	0.32
Powerstone // Ravage Double-sided Token		0.35
Forest (286) - Full Art	0.1	0.31
Thopter Token	0.12	
Monastery Swiftspear	0.15	0.44
Thran Power Suit	0.11	3.92
Queen Kayla bin-Kroog	0.09	0.18
Powerstone // Construct (005) Double-sided Token		0.31
Calamity's Wake	0.14	0.52
Autonomous Assembler	0.03	0.12
Tawnos, the Toymaker	0.05	0.21
Tocasia, Dig Site Mentor	0.02	0.17
Over the Top	0.05	0.15
Terror Ballista (Extended Art)	0.09	2.5
Geology Enthusiast (Extended Art)	0.05	
Soldier Token (009)	0.08	
Soldier Token (008)	0.08	
Symmetry Matrix	0.1	0.71
Scrapwork Mutt	0.04	0.41
Yotian Frontliner	0.04	0.24
Defabricate	0.01	0.42
Flow of Knowledge	0.05	0.35
Forging the Anchor	0.05	0.69
Gnawing Vermin	0.01	0.18
Thran Vigil	0.1	0.3
Mishra's Research Desk	0.05	0.35
