Force of Will	63	73.43
Force of Will (Borderless)	63.8	112.23
Force of Will (Retro Frame)	59.99	140.26
Vampiric Tutor (Borderless)	29.99	68.5
Vampiric Tutor	29.78	35.39
Vampiric Tutor (Retro Frame)	29.99	63.4
Sylvan Library (Borderless)	27	69.96
Sylvan Library (Retro Frame)	21.26	57.54
Sylvan Library	24.99	28.03
Urza, Lord High Artificer (Retro Frame)	18.75	34.64
Urza, Lord High Artificer (Borderless)	19.2	40.66
Urza, Lord High Artificer	18.99	21.91
Urza's Incubator	18	22.42
Urza's Incubator (Borderless)	16	26.73
Urza's Incubator (Retro Frame)	16.3	21.49
Enlightened Tutor	15	18.79
Yawgmoth, Thran Physician	16.92	19.14
Yawgmoth, Thran Physician (Retro Frame)	16	41.64
Yawgmoth, Thran Physician (Borderless)	15	34.66
Enlightened Tutor (Retro Frame)	13	19.08
Enlightened Tutor (Borderless)	13	25.64
Worldly Tutor	10.49	11.15
Worldly Tutor (Borderless)	9.49	16.68
Worldly Tutor (Retro Frame)	8.88	15.36
No Mercy	7	10.71
No Mercy (Borderless)	7.99	15.12
No Mercy (Retro Frame)	7.94	12.83
Exploration	6.5	8.73
Mystical Tutor	5	8.87
Mystical Tutor (Borderless)	6.15	12.89
Sneak Attack	6.73	8.23
Exploration (Retro Frame)	6.49	8.26
Sneak Attack (Retro Frame)	5.28	16.86
Mystical Tutor (Retro Frame)	4.9	10.77
Birds of Paradise (Retro Frame)	5	31.23
Dark Depths (Retro Frame)	4.99	15.03
Entomb	5.56	6.33
Birds of Paradise	5.75	6.77
Entomb (Retro Frame)	4	9.33
Entomb (Borderless)	4.8	9.99
Dark Depths (Borderless)	4.89	14.94
Dark Depths	5.39	6.64
Birds of Paradise (Borderless)	5.49	10.51
Time Stretch	4	5.24
Time Stretch (Borderless)	3	8.65
Mystic Remora	3.5	4.56
Mystic Remora (Borderless)	3.69	7.46
Gamble (Borderless)	3	7.63
Mystic Remora (Retro Frame)	2.3	7.75
Maze of Ith (Borderless)	2.9	7.7
Gamble	3.2	4.22
Lyra Dawnbringer (Borderless)	2.79	15.54
Time Stretch (Retro Frame)	2.5	8.45
Gamble (Retro Frame)	2.95	7.32
Maze of Ith (Retro Frame)	2.2	3.38
Maze of Ith	2.19	3.18
Gauntlet of Power	2.4	3.35
Gauntlet of Power (Borderless)	2.35	5.21
Lyra Dawnbringer	2.16	3.23
Last Chance (Borderless)	1.2	6.79
Gauntlet of Power (Retro Frame)	1.8	3.48
Hinterland Harbor (Retro Frame)	1.94	3.69
Wrath of God	1.75	2.54
Isolated Chapel	1.59	2.87
Isolated Chapel (Retro Frame)	1.69	5.13
Hinterland Harbor	1.73	2.27
Lyra Dawnbringer (Retro Frame)	1.75	4.71
Test of Endurance	0.9	1.79
Woodland Cemetery (Retro Frame)	1.62	4.76
Clifftop Retreat	1.63	2.66
Worldgorger Dragon (Borderless)	1.41	11.48
Woodland Cemetery	1.9	2.76
Wrath of God (Borderless)	0.98	4.54
Sulfur Falls (Retro Frame)	1.3	5.09
Hunting Grounds (Borderless)	1.61	3.48
Clifftop Retreat (Retro Frame)	1.5	3.61
Sulfur Falls	1.5	2.42
Worldgorger Dragon	1.19	1.32
Crawlspace	1	1.9
Hunting Grounds	1	1.85
Last Chance	1.22	1.46
Test of Endurance (Borderless)	0.95	3.83
Gemstone Mine (Borderless)	0.99	4.37
Last Chance (Retro Frame)	0.8	2.85
Nut Collector (Retro Frame)	0.5	1.81
Nut Collector	0.73	1.43
Crawlspace (Retro Frame)	0.54	1.7
Nature's Lore	0.69	1.75
Hunting Grounds (Retro Frame)	0.78	1.53
Wrath of God (Retro Frame)	0.85	2.95
Oversold Cemetery (Borderless)	0.65	2.4
Worldgorger Dragon (Retro Frame)	0.8	3.61
Swords to Plowshares	0.85	1.57
Marit Lage Token	0.69	
Test of Endurance (Retro Frame)	0.84	1.4
Elvish Spirit Guide (Retro Frame)	0.25	7.48
Swords to Plowshares (Retro Frame)	0.5	4.87
Nature's Lore (Retro Frame)	0.72	6.95
Gemstone Mine	0.85	1.12
Sevinne's Reclamation (Retro Frame)	0.7	8.52
Gemstone Mine (Retro Frame)	0.4	2.72
Nut Collector (Borderless)	0.66	1.86
Oversold Cemetery	0.23	0.79
Sevinne's Reclamation	0.21	1.42
Counterspell	0.2	0.97
Legacy Weapon (Borderless)	0.23	2.29
Helm of Awakening (Borderless)	0.1	1.03
Oversold Cemetery (Retro Frame)	0.25	0.98
Helm of Awakening	0.24	0.75
Zombie // Marit Lage Double-sided Token		0.94
Crop Rotation	0.35	0.81
Kamahl, Fist of Krosa (Retro Frame)	0.25	1.96
High Tide (Borderless)	0.2	3.81
Overmaster (Retro Frame)	0.4	1.36
Absorb (Borderless)	0.1	0.92
Kamahl, Fist of Krosa	0.29	0.85
Counterspell (Retro Frame)	0.15	1.88
Elvish Spirit Guide	0.19	0.95
Lotus Blossom (Borderless)	0.2	1.17
Elephant // Marit Lage Double-sided Token		0.76
Insect // Marit Lage Double-sided Token		0.72
Legacy Weapon	0.25	0.64
Damping Sphere (Retro Frame)	0.2	2.39
Helm of Awakening (Retro Frame)	0.2	1.03
Decimate (Borderless)	0.19	1.19
Overmaster	0.36	0.48
Chainer's Edict	0.13	0.55
Insect // Saproling Double-sided Token		0.67
Chainer, Dementia Master (Borderless)	0.1	1.12
Chainer's Edict (Borderless)	0.19	1.02
Cryptic Gateway (Retro Frame)	0.08	0.49
Arboria (Borderless)	0.1	0.78
