Force of Will	64	73.95
Force of Will (Borderless)	63.8	112.62
Force of Will (Retro Frame)	60	140.68
Vampiric Tutor (Borderless)	30	68.5
Vampiric Tutor	29.78	35.36
Vampiric Tutor (Retro Frame)	30	63.4
Sylvan Library (Borderless)	27	69.92
Sylvan Library	25.1	28.18
Sylvan Library (Retro Frame)	21.26	58.11
Urza, Lord High Artificer (Retro Frame)	18.75	34.64
Urza, Lord High Artificer (Borderless)	20.4	40.83
Urza, Lord High Artificer	19.9	21.85
Urza's Incubator	18	22.49
Urza's Incubator (Borderless)	16	26.85
Enlightened Tutor	15	18.41
Urza's Incubator (Retro Frame)	15.99	21.78
Yawgmoth, Thran Physician	16.92	19.3
Yawgmoth, Thran Physician (Borderless)	15	34.81
Yawgmoth, Thran Physician (Retro Frame)	16	41.62
Enlightened Tutor (Retro Frame)	13	19.08
Enlightened Tutor (Borderless)	13	25.76
Worldly Tutor	10.5	11.17
Worldly Tutor (Borderless)	9.54	16.69
Worldly Tutor (Retro Frame)	8.35	15.43
No Mercy	7	10.71
No Mercy (Borderless)	8	15.44
No Mercy (Retro Frame)	7.94	12.83
Exploration	6.5	8.73
Mystical Tutor	5	8.84
Mystical Tutor (Borderless)	5.92	13.01
Sneak Attack	6.99	8.23
Exploration (Retro Frame)	6.5	8.37
Sneak Attack (Retro Frame)	6	16.96
Mystical Tutor (Retro Frame)	5	10.98
Birds of Paradise (Retro Frame)	5	31.23
Dark Depths (Retro Frame)	4.82	15.02
Entomb	5.59	6.45
Birds of Paradise	5.75	6.79
Entomb (Borderless)	4.44	10.01
Entomb (Retro Frame)	4	9.29
Dark Depths (Borderless)	4.89	15.02
Dark Depths	5.39	6.56
Birds of Paradise (Borderless)	5.25	10.29
Time Stretch	4	5.22
Mystic Remora	3.5	4.32
Time Stretch (Borderless)	3	8.69
Gamble (Borderless)	3	7.57
Mystic Remora (Borderless)	3.3	7.66
Mystic Remora (Retro Frame)	2.3	7.77
Gamble	3.34	4.11
Maze of Ith (Borderless)	2.9	7.6
Time Stretch (Retro Frame)	2.5	8.45
Lyra Dawnbringer (Borderless)	2.79	15.8
Gamble (Retro Frame)	2.95	7.5
Maze of Ith (Retro Frame)	2.2	3.38
Maze of Ith	2.19	3.11
Gauntlet of Power	2.49	3.34
Gauntlet of Power (Borderless)	2.35	5.21
Lyra Dawnbringer	2.21	3.21
Last Chance (Borderless)	0.94	7.11
Gauntlet of Power (Retro Frame)	1.99	3.48
Wrath of God	1.8	2.5
Hinterland Harbor (Retro Frame)	1.94	3.63
Isolated Chapel	1.59	2.87
Isolated Chapel (Retro Frame)	1.67	5.08
Hinterland Harbor	1.7	2.24
Lyra Dawnbringer (Retro Frame)	1.75	4.72
Test of Endurance	0.9	1.77
Woodland Cemetery (Retro Frame)	1.24	4.73
Clifftop Retreat	1.63	2.64
Worldgorger Dragon (Borderless)	1.41	11.59
Woodland Cemetery	1.94	2.65
Wrath of God (Borderless)	1.01	4.52
Sulfur Falls (Retro Frame)	1.29	5.22
Hunting Grounds (Borderless)	1.61	3.48
Clifftop Retreat (Retro Frame)	1.5	3.59
Sulfur Falls	1.5	2.42
Worldgorger Dragon	1.19	1.32
Crawlspace	1	1.91
Hunting Grounds	1.09	1.85
Last Chance	1.25	1.47
Test of Endurance (Borderless)	0.95	3.83
Gemstone Mine (Borderless)	0.99	4.55
Last Chance (Retro Frame)	0.8	2.85
Nut Collector (Retro Frame)	0.5	1.81
Nut Collector	0.73	1.42
Crawlspace (Retro Frame)	0.55	1.69
Hunting Grounds (Retro Frame)	0.78	1.51
Nature's Lore	0.69	1.7
Wrath of God (Retro Frame)	0.85	2.95
Oversold Cemetery (Borderless)	0.65	2.4
Swords to Plowshares	0.85	1.6
Marit Lage Token	0.69	
Worldgorger Dragon (Retro Frame)	0.8	3.59
Test of Endurance (Retro Frame)	0.86	1.42
Swords to Plowshares (Retro Frame)	0.5	4.9
Elvish Spirit Guide (Retro Frame)	0.25	7.52
Nature's Lore (Retro Frame)	0.72	6.97
Sevinne's Reclamation (Retro Frame)	0.7	8.52
Gemstone Mine	0.85	1.12
Gemstone Mine (Retro Frame)	0.4	2.72
Nut Collector (Borderless)	0.66	1.86
Oversold Cemetery	0.23	0.8
Sevinne's Reclamation	0.21	1.4
Counterspell	0.2	0.98
Legacy Weapon (Borderless)	0.23	2.27
Helm of Awakening (Borderless)	0.1	1.03
Oversold Cemetery (Retro Frame)	0.25	0.99
Helm of Awakening	0.24	0.75
Zombie // Marit Lage Double-sided Token		0.94
Crop Rotation	0.35	0.81
Kamahl, Fist of Krosa (Retro Frame)	0.25	1.96
Overmaster (Retro Frame)	0.4	1.36
High Tide (Borderless)	0.2	3.83
Absorb (Borderless)	0.1	0.92
Elvish Spirit Guide	0.19	0.95
Kamahl, Fist of Krosa	0.29	0.85
Counterspell (Retro Frame)	0.15	1.86
Lotus Blossom (Borderless)	0.2	1.17
Elephant // Marit Lage Double-sided Token		0.76
Insect // Marit Lage Double-sided Token		0.72
Legacy Weapon	0.25	0.64
Helm of Awakening (Retro Frame)	0.2	1.04
Overmaster	0.36	0.48
Damping Sphere (Retro Frame)	0.2	2.39
Chainer's Edict	0.13	0.55
Decimate (Borderless)	0.19	1.15
Insect // Saproling Double-sided Token		0.67
Chainer, Dementia Master (Borderless)	0.1	1.12
Chainer's Edict (Borderless)	0.19	1.02
Cryptic Gateway (Retro Frame)	0.08	0.49
Arboria (Borderless)	0.1	0.78
Opposition	0.15	0.42
Chainer's Edict (Retro Frame)	0.2	1.13
Absorb (Retro Frame)	0.16	1.28
Windborn Muse (Borderless)	0.23	0.98
Chainer, Dementia Master	0.17	0.29
Jester's Cap (Borderless)	0.15	1.34
Decimate	0.18	0.41
Elephant // Construct Double-sided Token		0.57
Goblin // Marit Lage Double-sided Token		0.57
Opposition (Retro Frame)	0.21	1.3
Arboria	0.1	0.3
Cryptic Gateway	0.23	0.39
Zombie // Cat (003) Double-sided Token		0.52
Mindslicer	0.01	0.35
Pashalik Mons	0.09	0.41
Absorb	0.15	0.32
Chainer, Dementia Master (Retro Frame)	0.1	1.18
Fireblast (Retro Frame)	0.1	2.14
Pashalik Mons (Retro Frame)	0.18	1.02
Arboria (Retro Frame)	0.03	0.45
Legacy Weapon (Retro Frame)	0.26	1.18
Street Wraith (Borderless)	0.02	1.53
Grim Lavamancer (Borderless)	0.11	0.42
Serra Avatar (Retro Frame)	0.15	1.12
Serra Avatar	0.19	0.51
Construct Token	0.24	
Snap	0.11	0.45
Royal Assassin	0.07	0.39
