Elesh Norn, Mother of Machines (Borderless) (Step-and-Compleat Foil)		169.05
Elesh Norn, Mother of Machines (Borderless)	73	119.2
Elesh Norn, Mother of Machines (Oil Slick Raised Foil)		89
Elesh Norn, Mother of Machines (Concept Praetor) (Step-and-Compleat Foil)		86.34
Elesh Norn, Mother of Machines (Phyrexian) (Step-and-Compleat Foil)		69.18
Atraxa, Grand Unifier (Showcase) (Step-and-Compleat Foil)		66.55
Atraxa, Grand Unifier (Oil Slick Raised Foil)		65.84
Elesh Norn, Mother of Machines (Concept Praetor)	50	77.45
Elesh Norn, Mother of Machines (Showcase) (Step-and-Compleat Foil)		57.54
Elesh Norn, Mother of Machines (Phyrexian)	44.99	86.57
Mondrak, Glory Dominus (Showcase) (Step-and-Compleat Foil)		51.41
Mondrak, Glory Dominus (Oil Slick Raised Foil)		47.32
Elesh Norn, Mother of Machines (Showcase)	36	58.23
Vraska, Betrayal's Sting (Showcase) (Step-and-Compleat Foil)		45.75
Sword of Forge and Frontier (Oil Slick Raised Foil)		38.98
Elesh Norn, Mother of Machines	27.49	36.8
Mondrak, Glory Dominus	23.83	33.72
Atraxa, Grand Unifier (Showcase)	22.5	36.71
Ichormoon Gauntlet (Oil Slick Raised Foil)		29.97
Mondrak, Glory Dominus (Showcase)	23	32.38
Phyrexian Obliterator (Oil Slick Raised Foil)		28.12
Vraska, Betrayal's Sting (Showcase)	19.99	34.37
Atraxa, Grand Unifier	17.48	23.25
Vraska, Betrayal's Sting (Oil Slick Raised Foil)		21.12
Sword of Forge and Frontier	16.7	21.16
Vraska, Betrayal's Sting (Phyrexian) (Step-and-Compleat Foil)		20.37
Jace, the Perfected Mind (Showcase) (Step-and-Compleat Foil)		19.69
Phyrexian Obliterator (Showcase) (Step-and-Compleat Foil)		18.43
Tekuthal, Inquiry Dominus (Showcase) (Step-and-Compleat Foil)		18.14
Jace, the Perfected Mind (Oil Slick Raised Foil)		17.88
Jace, the Perfected Mind (Phyrexian) (Step-and-Compleat Foil)		17.49
Solphim, Mayhem Dominus (Oil Slick Raised Foil)		16.26
Nissa, Ascended Animist (Showcase) (Step-and-Compleat Foil)		16.18
Solphim, Mayhem Dominus (Showcase) (Step-and-Compleat Foil)		16.15
All Will Be One (Oil Slick Raised Foil)		16.02
Staff of Compleation (Oil Slick Raised Foil)		15.74
Phyrexian Vindicator (Showcase) (Step-and-Compleat Foil)		15.15
Tyrranax Rex (Showcase) (Step-and-Compleat Foil)		15.1
Drivnod, Carnage Dominus (Showcase) (Step-and-Compleat Foil)		14.45
Skrelv, Defector Mite (Showcase) (Step-and-Compleat Foil)		14.01
Tekuthal, Inquiry Dominus (Oil Slick Raised Foil)		13.84
Drivnod, Carnage Dominus (Oil Slick Raised Foil)		13.2
Zopandrel, Hunger Dominus (Showcase) (Step-and-Compleat Foil)		13.16
Nissa, Ascended Animist (Oil Slick Raised Foil)		12.33
Vraska, Betrayal's Sting (Phyrexian)	8.45	15.97
Tyvar, Jubilant Brawler (Showcase) (Step-and-Compleat Foil)		12.25
Phyrexian Vindicator (Oil Slick Raised Foil)		12.13
Tyrranax Rex (Oil Slick Raised Foil)		11.36
Nahiri, the Unforgiving (Showcase) (Step-and-Compleat Foil)		11.35
