001	引き裂かれし永劫、エムラクール	Emrakul, the Aeons Torn
002	真実の解体者、コジレック	Kozilek, Butcher of Truth
003	無限に廻るもの、ウラモグ	Ulamog, the Infinite Gyre
004	アブザンの鷹匠	Abzan Falconer
005	アイノクの盟族	Ainok Bond-Kin
006	武勇の選定師	Anointer of Valor
007	戦地昇進	Battlefield Promotion
008	神聖な訪問	Divine Visitation
009	宿命の旅人	Doomed Traveler
010	祝福されたエミエル	Emiel the Blessed
011	ちらつき鬼火	Flickerwisp
012	神々の思し召し	Gods Willing
013	ハイエナの陰影	Hyena Umbra
014	騎士の勇気	Knightly Valor
015	今わの際	Last Breath
016	レオニンの裁き人	Leonin Arbiter
017	弱者の師	Mentor of the Meek
018	月皇ミケウス	Mikaeus, the Lunarch
019	民兵のラッパ手	Militia Bugler
020	一瞬の瞬き	Momentary Blink
021	僧院の導師	Monastery Mentor
022	神話実現	Myth Realized
023	流刑への道	Path to Exile
024	救援隊長	Relief Captain
025	修復の天使	Restoration Angel
026	目覚ましヒバリ	Reveillark
027	鱗の祝福	Scale Blessing
028	道の探求者	Seeker of the Way
029	探知の接合者	Sensor Splicer
030	超現実的決着	Settle Beyond Reality
031	息詰まる徴税	Smothering Tithe
032	テフェリーの防御	Teferi's Protection
033	前兆の壁	Wall of Omens
034	雨ざらしの旅人	Weathered Wayfarer
035	天馬の乗り手	Wingsteed Rider
036	改良された縫い翼	Advanced Stitchwing
037	霊気撃ち	Aethersnipe
038	予言により	As Foretold
039	エイヴンの修練者	Aven Initiate
040	影武者	Body Double
041	打開	Breakthrough
042	捕獲球	Capture Sphere
043	聖別されたスフィンクス	Consecrated Sphinx
044	綿密な分析	Deep Analysis
045	錯乱した助手	Deranged Assistant
046	輪の信奉者	Disciple of the Ring
047	家畜化	Domestication
048	長魚の陰影	Eel Umbra
049	禁忌の錬金術	Forbidden Alchemy
050	否定の力	Force of Negation
051	けちな贈り物	Gifts Ungiven
052	巧妙なスカーブ	Ingenious Skaab
053	ジェスカイの長老	Jeskai Elder
054	カズミナの変成	Kasmina's Transmutation
055	ケデレクトのリバイアサン	Kederekt Leviathan
056	その場しのぎのやっかいもの	Makeshift Mauler
057	マナ吸収	Mana Drain
058	マナ漏出	Mana Leak
059	霧炎の達人	Mistfire Adept
060	熟考漂い	Mulldrifter
061	ネファリアの密輸人	Nephalia Smuggler
062	明日からの引き寄せ	Pull from Tomorrow
063	呪文貫き	Spell Pierce
064	空召喚士ターランド	Talrand, Sky Summoner
065	思考掃き	Thought Scour
066	造物の学者、ヴェンセール	Venser, Shaper Savant
067	洗い流し	Wash Out
068	欄干のスパイ	Balustrade Spy
069	苦花	Bitterblossom
