001	飛空士の騎兵部隊	Aeronaut Cavalry
002	空輸する従軍牧師	Airlift Chaplain
003	待ち伏せの降下兵	Ambush Paratrooper
004	災厄の痕跡	Calamity's Wake
005	手厳しい反撃	Deadly Riposte
006	解呪	Disenchant
007	大砂漠探鉱者	Great Desert Prospector
008	戦闘態勢	In the Trenches
009	カイラの命令	Kayla's Command
010	カイラの再建	Kayla's Reconstruction
011	軍備放棄	Lay Down Arms
012	第三の道のロラン	Loran of the Third Path
013	歴史学の信奉者、ロラン	Loran, Disciple of History
014	ロランの脱出	Loran's Escape
015	大量生産	Mass Production
016	行き届いた採掘	Meticulous Excavation
017	軍事規律	Military Discipline
018	アルガイヴの盾、ミュレル	Myrel, Shield of Argive
019	密集軍の先兵	Phalanx Vanguard
020	パワーストーン技師	Powerstone Engineer
021	服役	Prison Sentence
022	再稼働	Recommission
023	徴兵士官	Recruitment Officer
024	修復と充電	Repair and Recharge
025	包囲の古参兵	Siege Veteran
026	魂の仕切り	Soul Partition
027	静止網	Static Net
028	コーリスの生存者	Survivor of Korlis
029	飛行機械の設計家	Thopter Architect
030	トカシアの歓待	Tocasia's Welcome
031	第三の道の機構	Union of the Third Path
032	大将軍の精鋭	Warlord's Elite
033	ヨーティアの衛生兵	Yotian Medic
034	自律型組立工	Autonomous Assembler
035	戦闘の打破者	Combat Thresher
036	小隊分配機	Platoon Dispenser
037	屑鉄造りの軍勢	Scrapwork Cohort
038	鋼の熾天使	Steel Seraph
039	トカシアのオニュレット	Tocasia's Onulet
040	ウルザの酒杯	Urza's Sylex
041	古参兵の魔力刃	Veteran's Powerblade
042	ヨーティアの前線兵	Yotian Frontliner
043	空挺司令官	Air Marshal
044	情報収集	Curate
045	組立分解	Defabricate
046	同調解除	Desynchronize
047	ラト＝ナムの創立者、ドラフナ	Drafna, Founder of Lat-Nam
048	ファラジの考古学者	Fallaji Archaeologist
049	知識の流れ	Flow of Knowledge
050	錨の鍛錬	Forging the Anchor
051	熟練の魔術師、ハーキル	Hurkyl, Master Wizard
052	ハーキルの最後の瞑想	Hurkyl's Final Meditation
053	不本意な冷却時間	Involuntary Cooldown
054	抑揚の番人	Keeper of the Cadence
055	コイロスのロック鳥	Koilos Roc
056	ラト＝ナムの達人	Lat-Nam Adept
057	機械力	Machine Over Matter
058	マイトストーンの稼動力	Mightstone's Animation
059	多元宇宙と共に	One with the Multiverse
060	回収任務の工作員	Retrieval Agent
061	散乱光	Scatter Ray
062	天空射の士官	Skystrike Officer
063	パワーストーンの分割	Splitting the Powerstone
064	厳しい授業	Stern Lesson
065	飛び立ち	Take Flight
066	時間の旅人、テフェリー	Teferi, Temporal Pilgrim
067	第三の道の学者	Third Path Savant
068	飛行機械の整備士	Thopter Mechanic
069	パワーストーンの神童、ウルザ	Urza, Powerstone Prodigy
070	ウルザの命令	Urza's Command
071	ウルザの拒絶	Urza's Rebuff
072	ウィークストーンの支配力	Weakstone's Subjugation
073	翼の猛士	Wing Commando
074	微風の歩哨	Zephyr Sentinel
075	秘儀の代理者	Arcane Proxy
076	沿岸の防壁	Coastal Bulwark
077	戦闘急使	Combat Courier
078	深奥の突撃巨像	Depth Charge Colossus
079	巨体変異	Hulking Metamorph
080	観測用飛行機械	Spotter Thopter
081	高波エンジン	Surge Engine
082	時空錨	The Temporal Anchor
083	テリシアの精神壊し	Terisian Mindbreaker
084	肉体装置技師、アシュノッド	Ashnod, Flesh Mechanist
085	アシュノッドの介入	Ashnod's Intervention
086	戦場の解体屋	Battlefield Butcher
087	屍肉蝗	Carrion Locust
088	堕落	Corrupt
089	悪魔の意図	Diabolic Intent
090	ギックスの信奉者	Disciples of Gix
091	見栄え損ない	Disfigure
092	鋼と油の夢	Dreams of Steel and Oil
093	応急溶接	Emergency Weld
094	運命的連携	Fateful Handoff
095	ヨーグモスの法務官、ギックス	Gix, Yawgmoth Praetor
096	ギックスの愛撫	Gix's Caress
097	ギックスの命令	Gix's Command
098	ギックスの潜入者	Gixian Infiltrator
099	ギックスのくぐつ師	Gixian Puppeteer
100	ギックスの頭蓋剥ぎ	Gixian Skullflayer
101	かじりつく害獣	Gnawing Vermin
102	喉首狙い	Go for the Throat
103	陰惨な実現	Gruesome Realization
104	喉鳴らしの選定者	Gurgling Anointer
105	敵意ある交渉	Hostile Negotiations
106	殺戮領域の軽業師	Kill-Zone Acrobat
107	苦難の影	Misery's Shadow
108	抵抗の時	Moment of Defiance
109	誰も置き去りにしない	No One Left Behind
110	やり場のない悔恨	Overwhelming Remorse
111	痛ましい苦境	Painful Quandary
112	パワーストーン破砕	Powerstone Fracture
113	貪欲な巨大モグラ	Ravenous Gigamole
114	スランの夜警	Thran Vigil
115	トラクス魔	Thraxodemon
116	塹壕の忍び寄り	Trench Stalker
117	アシュノッドの収穫者	Ashnod's Harvester
118	土の帰還者	Clay Revenant
119	底ざらいの鉤爪	Dredging Claw
120	突き刺す戦耕し	Goring Warplow
121	ファイレクシアの肉体喰らい	Phyrexian Fleshgorger
122	剃刀鞭の人体改造機	Razorlash Transmogrant
123	屑鉄造りの憤怒獣	Scrapwork Rager
124	人体改造機の供犠台	Transmogrant Altar
125	人体改造機の冠	Transmogrant's Crown
126	軍拡競争	Arms Race
127	苦々しい再会	Bitter Reunion
128	兄弟仲の終焉	Brotherhood's End
129	徴集された歩兵部隊	Conscripted Infantry
130	ドラゴンの運命	Draconic Destiny
131	ドワーフの炉の詠唱者	Dwarven Forge-Chanter
132	採掘爆発	Excavation Explosion
133	クルーグの陥落	The Fall of Kroog
134	ファラジの鎖舞士	Fallaji Chaindancer
135	ロノムの発掘家、フェルドン	Feldon, Ronom Excavator
136	巨大焦がし大口	Giant Cindermaw
137	ゴブリンの爆風走り	Goblin Blast-Runner
