001	順応する自動機械	Adaptive Automaton
002	霊気貯蔵器	Aetherflux Reservoir
003	狂気の祭壇	Altar of Dementia
004	アシュノッドの供犠台	Ashnod's Altar
005	霊体のヤギ角	Astral Cornucopia
006	再鍛の黒き剣	Blackblade Reforged
007	骨の鋸	Bone Saw
008	つややかな雄鹿	Burnished Hart
009	かごの中の太陽	Caged Sun
010	彩色の灯籠	Chromatic Lantern
011	彩色の星	Chromatic Star
012	雲の鍵	Cloud Key
013	防御の光網	Defense Grid
014	空虚への扉	Door to Nothingness
015	他所のフラスコ	Elsewhere Flask
016	鋳造所の検査官	Foundry Inspector
017	金粉の水蓮	Gilded Lotus
018	ゴブリンの放火砲	Goblin Charbelcher
019	多勢の兜	Helm of the Host
020	吠えたける鉱山	Howling Mine
021	胆液の水源	Ichor Wellspring
022	鼓舞する彫像	Inspiring Statuary
023	象牙の塔	Ivory Tower
024	ジェイラム秘本	Jalum Tome
025	旅行者の凧	Journeyer's Kite
026	号泣の石	Keening Stone
027	街の鍵	Key to the City
028	液鋼の塗膜	Liquimetal Coating
029	磁石のゴーレム	Lodestone Golem
030	精神迷わせの秘本	Mazemind Tome
031	催眠の宝珠	Mesmeric Orb
032	石臼	Millstone
033	精神の眼	Mind's Eye
034	ミシュラのガラクタ	Mishra's Bauble
035	モックス・アンバー	Mox Amber
036	神秘の炉	Mystic Forge
037	羽ばたき飛行機械	Ornithopter
038	危険な櫃	Perilous Vault
039	ファイレクシアの処理装置	Phyrexian Processor
040	ファイレクシアの破棄者	Phyrexian Revoker
041	白金の天使	Platinum Angel
042	先駆のゴーレム	Precursor Golem
043	清純のタリスマン	Pristine Talisman
044	精神の病を這うもの	Psychosis Crawler
045	流転の護符	Quicksilver Amulet
046	滅消の杭	Quietus Spike
047	ドラゴン・エンジン、レイモス	Ramos, Dragon Engine
048	ルーン唱えの長槍	Runechanter's Pike
049	屑鉄さらい	Scrap Trawler
050	彫り込み鋼	Sculpting Steel
051	自己組立機械	Self-Assembler
052	類似の金床	Semblance Anvil
