001	生けるレガシー、カーン	Karn, Living Legacy
002	選定された平和の番人	Anointed Peacekeeper
003	怒りの大天使	Archangel of Wrath
004	アルガイヴの騎兵	Argivian Cavalier
005	アルガイヴの密集軍	Argivian Phalanx
006	弩弓破	Artillery Blast
007	ベナリアの信仰繋ぎ	Benalish Faithbonder
008	ベナリアの潜伏工作員	Benalish Sleeper
009	隊長の号令	Captain's Call
010	カリスマ溢れる先兵	Charismatic Vanguard
011	市民の拘束	Citizen's Arrest
012	肉裂きの空乗り	Cleaving Skyrider
013	機械仕掛けの跳ね橋	Clockwork Drawbridge
014	連合の空騎士	Coalition Skyknight
015	ベナリアの希望、ダニサ	Danitha, Benalia's Hope
016	信仰を穢すもの	Defiler of Faith
017	邪悪を打ち砕く	Destroy Evil
018	庇護のグリフィン	Griffin Protector
019	新ベナリアの守護者	Guardian of New Benalia
020	英雄的突撃	Heroic Charge
021	加勢	Join Forces
022	柏槙教団の樹根織り	Juniper Order Rootweaver
023	曙光の騎士	Knight of Dawn's Light
024	力線の束縛	Leyline Binding
025	夜と昼の恋歌	Love Song of Night and Day
026	メサの騎兵	Mesa Cavalier
027	ファイレクシアの宣教師	Phyrexian Missionary
028	束縛の祈り手	Prayer of Binding
029	毅然たる援軍	Resolute Reinforcements
030	ルーン撃ち	Runic Shot
031	サマイトの薬草医	Samite Herbalist
032	セラの模範	Serra Paragon
033	シャライの侍者	Shalai's Acolyte
034	時間稼ぎ	Stall for Time
035	盾、構え	Take Up the Shield
036	一時的封鎖	Temporary Lockdown
037	ウルザ、タイタンズを組織する	Urza Assembles the Titans
038	雄々しい古参兵	Valiant Veteran
039	翼套の司祭	Wingmantle Chaplain
040	アカデミーの伝承師	Academy Loremaster
041	アカデミーの壁	Academy Wall
042	霊気の媒介者	Aether Channeler
043	戦羽の神秘家	Battlewing Mystic
044	戦闘研究	Combat Research
045	珊瑚の群棲	Coral Colony
046	夢を穢すもの	Defiler of Dreams
047	泉のジン	Djinn of the Fountain
048	アーテイの嘲笑	Ertai's Scorn
049	本質の散乱	Essence Scatter
