■拡張アート■	Extended Art
【Foil】■拡張アート■	Extended Art
■ショーケース■	Showcase
【Foil】■ショーケース■	Showcase
(ショーケース版)	Showcase
■ボーダーレス■	Borderless
【Foil】■ボーダーレス■	Borderless
(全面アート版)	Borderless
(ドラフトブースター・全面アート版)	Borderless
● (コレクターブースター・全面アート版)	Borderless
● (全面アート・日本産ブースター版)	Borderless
(全面アート・海外産ブースター版)	Borderless
■旧枠■	Retro Frame
(旧枠)	Retro Frame
(ドラフトブースター版・旧枠)	Retro Frame
● (コレクターブースター版・旧枠)	Retro Frame
【Foil】■旧枠■	Retro Frame
(コレクターブースター版、旧枠)	Retro Frame
● (ドラフト/セットブースター版、旧枠)	Retro Frame
【ファイレクシア語】	Phyrexian
【S&amp;C・F】	Step-and-Compleat Foil
■設計図■	Schematic
【Foil】■設計図■	Schematic
(設計図仕様)	Schematic
(コレクターブースター版、旧枠・設計図仕様)	Schematic
● (ドラフト/セットブースター版、旧枠・設計図仕様)	Schematic
【ダブルレインボウ・Foil】■設計図■	Serial Numbered
(旧枠・設計図仕様、シリアル入り)	Serial Numbered
【エッチング・Foil】	Foil Etched
(エッチング仕様)	Foil Etched
(全面アート版・テクスチャー仕様)	Textured Foil
【オイルスリック・Foil】	Oil Slick Raised Foil
【テクスチャー・Foil】	Textured Foil
(テクスチャー・フォイル仕様)	Textured Foil
